day;month;year;day;kw;desc;kanton
01;Januar;2017;So;KW 52;Neujahrstag;Kanton Aargau
02;Januar;2017;Mo;KW 01;Berchtoldstag;Kanton Aargau
14;April;2017;Fr;KW 15;Karfreitag;Kanton Aargau
17;April;2017;Mo;KW 16;Ostermontag;Kanton Aargau
25;Mai;2017;Do;KW 21;Auffahrt;Kanton Aargau
29;Mai;2017;Mo;KW 22;St. Burkard;Kanton Aargau
05;Juni;2017;Mo;KW 23;Pfingstmontag;Kanton Aargau
15;Juni;2017;Do;KW 24;Fronleichnam;Kanton Aargau
02;Juli;2017;So;KW 26;Germanstag;Kanton Aargau
01;August;2017;Di;KW 31;Nationalfeiertag Schweiz;Kanton Aargau
15;August;2017;Di;KW 33;Mariä Himmelfahrt;Kanton Aargau
01;September;2017;Fr;KW 35;Verenentag;Kanton Aargau
01;November;2017;Mi;KW 44;Allerheiligen;Kanton Aargau
08;Dezember;2017;Fr;KW 49;Mariä Empfängnis;Kanton Aargau
25;Dezember;2017;Mo;KW 52;Weihnachten;Kanton Aargau
26;Dezember;2017;Di;KW 52;Stephanstag;Kanton Aargau
01;Januar;2018;Mo;KW 01;Neujahrstag;Kanton Aargau
02;Januar;2018;Di;KW 01;Berchtoldstag;Kanton Aargau
30;März;2018;Fr;KW 13;Karfreitag;Kanton Aargau
02;April;2018;Mo;KW 14;Ostermontag;Kanton Aargau
10;Mai;2018;Do;KW 19;Auffahrt;Kanton Aargau
14;Mai;2018;Mo;KW 20;St. Burkard;Kanton Aargau
21;Mai;2018;Mo;KW 21;Pfingstmontag;Kanton Aargau
31;Mai;2018;Do;KW 22;Fronleichnam;Kanton Aargau
02;Juli;2018;Mo;KW 27;Germanstag;Kanton Aargau
01;August;2018;Mi;KW 31;Nationalfeiertag Schweiz;Kanton Aargau
15;August;2018;Mi;KW 33;Mariä Himmelfahrt;Kanton Aargau
01;September;2018;Sa;KW 35;Verenentag;Kanton Aargau
01;November;2018;Do;KW 44;Allerheiligen;Kanton Aargau
08;Dezember;2018;Sa;KW 49;Mariä Empfängnis;Kanton Aargau
25;Dezember;2018;Di;KW 52;Weihnachten;Kanton Aargau
26;Dezember;2018;Mi;KW 52;Stephanstag;Kanton Aargau
01;Januar;2017;So;KW 52;Neujahrstag;Kanton Genf
14;April;2017;Fr;KW 15;Karfreitag;Kanton Genf
17;April;2017;Mo;KW 16;Ostermontag;Kanton Genf
25;Mai;2017;Do;KW 21;Auffahrt;Kanton Genf
05;Juni;2017;Mo;KW 23;Pfingstmontag;Kanton Genf
01;August;2017;Di;KW 31;Nationalfeiertag Schweiz;Kanton Genf
07;September;2017;Do;KW 36;Genfer Bettag;Kanton Genf
25;Dezember;2017;Mo;KW 52;Weihnachten;Kanton Genf
31;Dezember;2017;So;KW 52;Wiederherstellung der Republik Genf;Kanton Genf
01;Januar;2018;Mo;KW 01;Neujahrstag;Kanton Genf
30;März;2018;Fr;KW 13;Karfreitag;Kanton Genf
02;April;2018;Mo;KW 14;Ostermontag;Kanton Genf
10;Mai;2018;Do;KW 19;Auffahrt;Kanton Genf
21;Mai;2018;Mo;KW 21;Pfingstmontag;Kanton Genf
01;August;2018;Mi;KW 31;Nationalfeiertag Schweiz;Kanton Genf
06;September;2018;Do;KW 36;Genfer Bettag;Kanton Genf
25;Dezember;2018;Di;KW 52;Weihnachten;Kanton Genf
31;Dezember;2018;Mo;KW 01;Wiederherstellung der Republik Genf;Kanton Genf
01;Januar;2017;So;KW 52;Neujahrstag;Kanton Glarus
06;April;2017;Do;KW 14;Näfelser Fahrt;Kanton Glarus
14;April;2017;Fr;KW 15;Karfreitag;Kanton Glarus
17;April;2017;Mo;KW 16;Ostermontag;Kanton Glarus
25;Mai;2017;Do;KW 21;Auffahrt;Kanton Glarus
05;Juni;2017;Mo;KW 23;Pfingstmontag;Kanton Glarus
01;August;2017;Di;KW 31;Nationalfeiertag Schweiz;Kanton Glarus
01;November;2017;Mi;KW 44;Allerheiligen;Kanton Glarus
25;Dezember;2017;Mo;KW 52;Weihnachten;Kanton Glarus
26;Dezember;2017;Di;KW 52;Stephanstag;Kanton Glarus
01;Januar;2018;Mo;KW 01;Neujahrstag;Kanton Glarus
30;März;2018;Fr;KW 13;Karfreitag;Kanton Glarus
02;April;2018;Mo;KW 14;Ostermontag;Kanton Glarus
05;April;2018;Do;KW 14;Näfelser Fahrt;Kanton Glarus
10;Mai;2018;Do;KW 19;Auffahrt;Kanton Glarus
21;Mai;2018;Mo;KW 21;Pfingstmontag;Kanton Glarus
01;August;2018;Mi;KW 31;Nationalfeiertag Schweiz;Kanton Glarus
01;November;2018;Do;KW 44;Allerheiligen;Kanton Glarus
25;Dezember;2018;Di;KW 52;Weihnachten;Kanton Glarus
26;Dezember;2018;Mi;KW 52;Stephanstag;Kanton Glarus
01;Januar;2017;So;KW 52;Neujahrstag;Kanton Graubünden
06;Januar;2017;Fr;KW 01;Heilige drei Könige;Kanton Graubünden
20;Januar;2017;Fr;KW 03;Fest des hl. Sebastian;Kanton Graubünden
19;März;2017;So;KW 11;St. Josef;Kanton Graubünden
14;April;2017;Fr;KW 15;Karfreitag;Kanton Graubünden
17;April;2017;Mo;KW 16;Ostermontag;Kanton Graubünden
25;Mai;2017;Do;KW 21;Auffahrt;Kanton Graubünden
05;Juni;2017;Mo;KW 23;Pfingstmontag;Kanton Graubünden
15;Juni;2017;Do;KW 24;Fronleichnam;Kanton Graubünden
29;Juni;2017;Do;KW 26;St. Peter und Paul;Kanton Graubünden
25;Juli;2017;Di;KW 30;St. Jakob;Kanton Graubünden
01;August;2017;Di;KW 31;Nationalfeiertag Schweiz;Kanton Graubünden
15;August;2017;Di;KW 33;Mariä Himmelfahrt;Kanton Graubünden
01;November;2017;Mi;KW 44;Allerheiligen;Kanton Graubünden
08;Dezember;2017;Fr;KW 49;Mariä Empfängnis;Kanton Graubünden
25;Dezember;2017;Mo;KW 52;Weihnachten;Kanton Graubünden
26;Dezember;2017;Di;KW 52;Stephanstag;Kanton Graubünden
01;Januar;2018;Mo;KW 01;Neujahrstag;Kanton Graubünden
06;Januar;2018;Sa;KW 01;Heilige drei Könige;Kanton Graubünden
20;Januar;2018;Sa;KW 03;Fest des hl. Sebastian;Kanton Graubünden
19;März;2018;Mo;KW 12;St. Josef;Kanton Graubünden
30;März;2018;Fr;KW 13;Karfreitag;Kanton Graubünden
02;April;2018;Mo;KW 14;Ostermontag;Kanton Graubünden
10;Mai;2018;Do;KW 19;Auffahrt;Kanton Graubünden
21;Mai;2018;Mo;KW 21;Pfingstmontag;Kanton Graubünden
31;Mai;2018;Do;KW 22;Fronleichnam;Kanton Graubünden
29;Juni;2018;Fr;KW 26;St. Peter und Paul;Kanton Graubünden
25;Juli;2018;Mi;KW 30;St. Jakob;Kanton Graubünden
01;August;2018;Mi;KW 31;Nationalfeiertag Schweiz;Kanton Graubünden
15;August;2018;Mi;KW 33;Mariä Himmelfahrt;Kanton Graubünden
01;November;2018;Do;KW 44;Allerheiligen;Kanton Graubünden
08;Dezember;2018;Sa;KW 49;Mariä Empfängnis;Kanton Graubünden
25;Dezember;2018;Di;KW 52;Weihnachten;Kanton Graubünden
26;Dezember;2018;Mi;KW 52;Stephanstag;Kanton Graubünden
01;Januar;2017;So;KW 52;Neujahrstag;Kanton Jura
02;Januar;2017;Mo;KW 01;Berchtoldstag;Kanton Jura
01;März;2017;Mi;KW 09;Aschermittwoch;Kanton Jura
14;April;2017;Fr;KW 15;Karfreitag;Kanton Jura
17;April;2017;Mo;KW 16;Ostermontag;Kanton Jura
01;Mai;2017;Mo;KW 18;Tag der Arbeit;Kanton Jura
25;Mai;2017;Do;KW 21;Auffahrt;Kanton Jura
05;Juni;2017;Mo;KW 23;Pfingstmontag;Kanton Jura
15;Juni;2017;Do;KW 24;Fronleichnam;Kanton Jura
23;Juni;2017;Fr;KW 25;Fest der Unabhängigkeit Jura;Kanton Jura
01;August;2017;Di;KW 31;Nationalfeiertag Schweiz;Kanton Jura
15;August;2017;Di;KW 33;Mariä Himmelfahrt;Kanton Jura
01;November;2017;Mi;KW 44;Allerheiligen;Kanton Jura
25;Dezember;2017;Mo;KW 52;Weihnachten;Kanton Jura
01;Januar;2018;Mo;KW 01;Neujahrstag;Kanton Jura
02;Januar;2018;Di;KW 01;Berchtoldstag;Kanton Jura
14;Februar;2018;Mi;KW 07;Aschermittwoch;Kanton Jura
30;März;2018;Fr;KW 13;Karfreitag;Kanton Jura
02;April;2018;Mo;KW 14;Ostermontag;Kanton Jura
01;Mai;2018;Di;KW 18;Tag der Arbeit;Kanton Jura
10;Mai;2018;Do;KW 19;Auffahrt;Kanton Jura
21;Mai;2018;Mo;KW 21;Pfingstmontag;Kanton Jura
31;Mai;2018;Do;KW 22;Fronleichnam;Kanton Jura
23;Juni;2018;Sa;KW 25;Fest der Unabhängigkeit Jura;Kanton Jura
01;August;2018;Mi;KW 31;Nationalfeiertag Schweiz;Kanton Jura
15;August;2018;Mi;KW 33;Mariä Himmelfahrt;Kanton Jura
01;November;2018;Do;KW 44;Allerheiligen;Kanton Jura
25;Dezember;2018;Di;KW 52;Weihnachten;Kanton Jura
01;Januar;2017;So;KW 52;Neujahrstag;Kanton Luzern
20;Januar;2017;Fr;KW 03;Fest des hl. Sebastian;Kanton Luzern
03;Februar;2017;Fr;KW 05;St. Blasius;Kanton Luzern
05;Februar;2017;So;KW 05;St. Agatha;Kanton Luzern
19;März;2017;So;KW 11;St. Josef;Kanton Luzern
14;April;2017;Fr;KW 15;Karfreitag;Kanton Luzern
01;Mai;2017;Mo;KW 18;Kirchweihfest;Kanton Luzern
01;Mai;2017;Mo;KW 18;St. Johannes;Kanton Luzern
12;Mai;2017;Fr;KW 19;St. Pankratius;Kanton Luzern
25;Mai;2017;Do;KW 21;Auffahrt;Kanton Luzern
15;Juni;2017;Do;KW 24;Fronleichnam;Kanton Luzern
29;Juni;2017;Do;KW 26;St. Peter und Paul;Kanton Luzern
04;Juli;2017;Di;KW 27;St. Ulrich;Kanton Luzern
01;August;2017;Di;KW 31;Nationalfeiertag Schweiz;Kanton Luzern
10;August;2017;Do;KW 32;St. Laurentius;Kanton Luzern
15;August;2017;Di;KW 33;Mariä Himmelfahrt;Kanton Luzern
01;September;2017;Fr;KW 35;Verenentag;Kanton Luzern
02;September;2017;Sa;KW 35;St. Justus;Kanton Luzern
22;September;2017;Fr;KW 38;St. Mauritiustag;Kanton Luzern
29;September;2017;Fr;KW 39;St. Michael;Kanton Luzern
30;September;2017;Sa;KW 39;St. Hieronymus;Kanton Luzern
01;Oktober;2017;So;KW 39;Heilige Theresia;Kanton Luzern
02;Oktober;2017;Mo;KW 40;St. Leodegar;Kanton Luzern
16;Oktober;2017;Mo;KW 42;Gallustag;Kanton Luzern
20;Oktober;2017;Fr;KW 42;Wendelinstag;Kanton Luzern
01;November;2017;Mi;KW 44;Allerheiligen;Kanton Luzern
11;November;2017;Sa;KW 45;St. Martin;Kanton Luzern
26;November;2017;So;KW 47;St. Konrad;Kanton Luzern
30;November;2017;Do;KW 48;Andreastag;Kanton Luzern
08;Dezember;2017;Fr;KW 49;Mariä Empfängnis;Kanton Luzern
13;Dezember;2017;Mi;KW 50;Heilige Lucia;Kanton Luzern
