Costcenter	r.squared	Year	Month	Wdays	prediction	total	prediciton
Region Bern-Solothurn	0.8647488206953177	2017	1	20	0.05410867671059838	0.9952992605947203	0.05436422878307663
Region Bern-Solothurn	0.8647488206953177	2017	2	20	0.07282632735797634	0.9952992605947203	0.07317028178485784
Region Bern-Solothurn	0.8647488206953177	2017	3	23	0.0881883630279245	0.9952992605947203	0.08860487143859565
Region Bern-Solothurn	0.8647488206953177	2017	4	18	0.07346690881361423	0.9952992605947203	0.07381388866873628
Region Bern-Solothurn	0.8647488206953177	2017	5	22	0.09185867625588814	0.9952992605947203	0.09229251933835449
Region Bern-Solothurn	0.8647488206953177	2017	6	21	0.08646879308482995	0.9952992605947203	0.08687718006859799
Region Bern-Solothurn	0.8647488206953177	2017	7	21	0.082932133895252	0.9952992605947203	0.08332381744732498
Region Bern-Solothurn	0.8647488206953177	2017	8	22	0.08925001856909573	0.9952992605947203	0.08967154111595164
Region Bern-Solothurn	0.8647488206953177	2017	9	21	0.0922635087830776	0.9952992605947203	0.09269926386557091
Region Bern-Solothurn	0.8647488206953177	2017	10	22	0.09920686531300522	0.9952992605947203	0.09967541345677905
Region Bern-Solothurn	0.8647488206953177	2017	11	22	0.09950471930136087	0.9952992605947203	0.09997467419186457
Region Bern-Solothurn	0.8647488206953177	2017	12	19	0.06522426948209734	0.9952992605947203	0.06553231984028998
GENEVE LAUSANNE	0.9527971819694523	2017	1	20	0.057348758279238264	0.9966933604590456	0.05753901907485892
GENEVE LAUSANNE	0.9527971819694523	2017	2	20	0.0697703652261123	0.9966933604590456	0.07000183606518484
GENEVE LAUSANNE	0.9527971819694523	2017	3	23	0.0892722587664312	0.9966933604590456	0.08956842927629739
GENEVE LAUSANNE	0.9527971819694523	2017	4	18	0.07843549505894122	0.9966933604590456	0.07869571341662826
GENEVE LAUSANNE	0.9527971819694523	2017	5	22	0.09356701232568664	0.9966933604590456	0.09387743115153553
GENEVE LAUSANNE	0.9527971819694523	2017	6	21	0.09862318352174501	0.9966933604590456	0.09895037675009923
GENEVE LAUSANNE	0.9527971819694523	2017	7	21	0.09071057248088743	0.9966933604590456	0.091011514754256
GENEVE LAUSANNE	0.9527971819694523	2017	8	22	0.075344818286879	0.9966933604590456	0.07559478298538835
GENEVE LAUSANNE	0.9527971819694523	2017	9	21	0.08680535607540543	0.9966933604590456	0.0870933423650235
GENEVE LAUSANNE	0.9527971819694523	2017	10	22	0.09928929096702101	0.9966933604590456	0.0996186940798838
GENEVE LAUSANNE	0.9527971819694523	2017	11	22	0.0964107687834535	0.9966933604590456	0.09673062208325511
GENEVE LAUSANNE	0.9527971819694523	2017	12	19	0.06111548068724453	0.9966933604590456	0.061318237997589016
VALAIS RIVIERA CHABLAIS	0.9748411246191672	2017	1	20	0.048818163334201636	0.9958130097721564	0.04902342393113674
VALAIS RIVIERA CHABLAIS	0.9748411246191672	2017	2	20	0.06403583346935904	0.9958130097721564	0.06430507820339738
VALAIS RIVIERA CHABLAIS	0.9748411246191672	2017	3	23	0.08410942984829932	0.9958130097721564	0.0844630759217975
VALAIS RIVIERA CHABLAIS	0.9748411246191672	2017	4	18	0.07453683108929056	0.9958130097721564	0.07485022826358204
VALAIS RIVIERA CHABLAIS	0.9748411246191672	2017	5	22	0.09714585649715221	0.9958130097721564	0.09755431546267843
VALAIS RIVIERA CHABLAIS	0.9748411246191672	2017	6	21	0.09723991351100349	0.9958130097721564	0.09764876794816342
VALAIS RIVIERA CHABLAIS	0.9748411246191672	2017	7	21	0.09039879639351375	0.9958130097721564	0.09077888670504229
VALAIS RIVIERA CHABLAIS	0.9748411246191672	2017	8	22	0.07433524054009225	0.9958130097721564	0.07464779010780374
VALAIS RIVIERA CHABLAIS	0.9748411246191672	2017	9	21	0.0932695310394629	0.9958130097721564	0.09366169162702857
VALAIS RIVIERA CHABLAIS	0.9748411246191672	2017	10	22	0.10631537094513915	0.9958130097721564	0.10676238400366378
VALAIS RIVIERA CHABLAIS	0.9748411246191672	2017	11	22	0.10565248964007509	0.9958130097721564	0.10609671555129467
VALAIS RIVIERA CHABLAIS	0.9748411246191672	2017	12	19	0.059955553464567	0.9958130097721564	0.060207642274411464
FRIBOURG NORD VD	0.9654438369859232	2017	1	20	0.056959286161454195	0.9975403759508813	0.05709973003063573
FRIBOURG NORD VD	0.9654438369859232	2017	2	20	0.07190941339143198	0.9975403759508813	0.07208671962063296
FRIBOURG NORD VD	0.9654438369859232	2017	3	23	0.08996473915385345	0.9975403759508813	0.09018656419605746
FRIBOURG NORD VD	0.9654438369859232	2017	4	18	0.08227831028386247	0.9975403759508813	0.08248118298513246
